Ensembl Gene ID,Human Ensembl Gene ID,Homology Type,"Orthology confidence [0 low, 1 high]",% Identity with respect to query gene,% Identity with respect to Human gene
ENSDARG00000036913,ENSG00000160408,ortholog_one2one,1,44,36
ENSDARG00000090072,ENSG00000157992,ortholog_one2one,1,43,40
ENSDARG00000101061,ENSG00000144895,ortholog_one2one,1,70,70
ENSDARG00000090052,,,,,
ENSDARG00000031216,ENSG00000160075,ortholog_one2one,0,89,89
ENSDARG00000070898,,,,,
ENSDARG00000101544,,,,,
ENSDARG00000088956,ENSG00000176563,ortholog_one2one,1,44,34
ENSDARG00000098351,,,,,
ENSDARG00000060109,ENSG00000164252,ortholog_one2one,1,41,44
ENSDARG00000080109,,,,,
ENSDARG00000094943,,,,,
ENSDARG00000025046,,,,,
ENSDARG00000079575,ENSG00000144218,ortholog_one2one,0,24,24
ENSDARG00000058775,ENSG00000146477,ortholog_one2one,1,44,44
ENSDARG00000069276,,,,,
ENSDARG00000034777,ENSG00000100348,ortholog_one2one,1,57,57
ENSDARG00000095011,,,,,
ENSDARG00000088770,ENSG00000207511,ortholog_many2many,1,79,79
ENSDARG00000088770,ENSG00000212330,ortholog_many2many,1,75,77
ENSDARG00000088770,ENSG00000207434,ortholog_many2many,1,79,79
ENSDARG00000088770,ENSG00000207007,ortholog_many2many,1,82,79
ENSDARG00000088770,ENSG00000206752,ortholog_many2many,1,80,80
ENSDARG00000088770,ENSG00000251754,ortholog_many2many,1,67,69
ENSDARG00000088770,ENSG00000207359,ortholog_many2many,1,76,78
ENSDARG00000103879,,,,,
ENSDARG00000098365,ENSG00000187905,ortholog_one2one,1,41,43
ENSDARG00000069941,ENSG00000111802,ortholog_one2many,1,31,38
ENSDARG00000102539,ENSG00000150051,ortholog_one2many,1,65,62
ENSDARG00000057007,,,,,
ENSDARG00000012945,ENSG00000102524,ortholog_one2one,1,36,34
ENSDARG00000104060,,,,,
ENSDARG00000031426,ENSG00000144655,ortholog_one2many,0,38,33
ENSDARG00000103086,,,,,
ENSDARG00000102376,ENSG00000166862,ortholog_one2many,0,85,85
ENSDARG00000100351,ENSG00000207511,ortholog_many2many,1,76,76
ENSDARG00000100351,ENSG00000212330,ortholog_many2many,1,75,77
ENSDARG00000100351,ENSG00000207434,ortholog_many2many,1,76,76
ENSDARG00000100351,ENSG00000207007,ortholog_many2many,1,82,79
ENSDARG00000100351,ENSG00000206752,ortholog_many2many,1,80,80
ENSDARG00000100351,ENSG00000251754,ortholog_many2many,1,67,69
ENSDARG00000100351,ENSG00000207359,ortholog_many2many,1,75,77
ENSDARG00000026723,ENSG00000135316,ortholog_one2many,1,84,75
ENSDARG00000103144,ENSG00000162869,ortholog_one2one,1,58,50
ENSDARG00000103312,ENSG00000282872,ortholog_one2one,1,34,29
ENSDARG00000102971,ENSG00000207511,ortholog_many2many,1,79,79
ENSDARG00000102971,ENSG00000212330,ortholog_many2many,1,75,77
ENSDARG00000102971,ENSG00000207434,ortholog_many2many,1,79,79
ENSDARG00000102971,ENSG00000207007,ortholog_many2many,1,84,81
ENSDARG00000102971,ENSG00000206752,ortholog_many2many,1,83,83
ENSDARG00000102971,ENSG00000251754,ortholog_many2many,1,71,72
ENSDARG00000102971,ENSG00000207359,ortholog_many2many,1,78,80
ENSDARG00000098512,,,,,
ENSDARG00000040632,,,,,
ENSDARG00000090739,ENSG00000207511,ortholog_many2many,1,77,77
ENSDARG00000090739,ENSG00000212330,ortholog_many2many,1,78,80
ENSDARG00000090739,ENSG00000207434,ortholog_many2many,1,77,77
ENSDARG00000090739,ENSG00000207007,ortholog_many2many,1,83,80
ENSDARG00000090739,ENSG00000206752,ortholog_many2many,1,81,81
ENSDARG00000090739,ENSG00000251754,ortholog_many2many,1,69,70
ENSDARG00000090739,ENSG00000207359,ortholog_many2many,1,76,78
ENSDARG00000101149,,,,,
ENSDARG00000075915,,,,,
ENSDARG00000090532,,,,,
ENSDARG00000103794,,,,,
ENSDARG00000098229,,,,,
ENSDARG00000101476,,,,,
ENSDARG00000062621,ENSG00000182568,ortholog_one2one,1,69,70
ENSDARG00000089888,ENSG00000164535,ortholog_one2one,0,56,56
ENSDARG00000092078,,,,,
ENSDARG00000061752,ENSG00000111913,ortholog_one2one,1,51,52
ENSDARG00000080979,ENSG00000239194,ortholog_many2many,0,44,41
ENSDARG00000080979,ENSG00000212172,ortholog_many2many,0,58,53
ENSDARG00000080979,ENSG00000200340,ortholog_many2many,0,55,51
ENSDARG00000080979,ENSG00000200204,ortholog_many2many,0,58,54
ENSDARG00000080979,ENSG00000252850,ortholog_many2many,0,61,58
ENSDARG00000035990,ENSG00000179862,ortholog_one2many,1,27,35
ENSDARG00000095193,ENSG00000157873,ortholog_one2many,0,34,17
ENSDARG00000098555,,,,,
ENSDARG00000089704,,,,,
ENSDARG00000102268,,,,,
ENSDARG00000088616,,,,,
ENSDARG00000102507,,,,,
ENSDARG00000103204,,,,,
ENSDARG00000094824,,,,,
ENSDARG00000075629,ENSG00000216490,ortholog_one2many,1,40,41
ENSDARG00000008660,ENSG00000172725,ortholog_one2one,0,61,62
ENSDARG00000095123,,,,,
ENSDARG00000034534,ENSG00000114573,ortholog_one2many,1,93,93
ENSDARG00000097900,,,,,
ENSDARG00000074403,ENSG00000114757,ortholog_one2many,1,57,55
ENSDARG00000089826,,,,,
ENSDARG00000074262,ENSG00000158092,ortholog_one2many,1,64,56
ENSDARG00000103036,,,,,
ENSDARG00000093236,ENSG00000141040,ortholog_many2many,0,51,22
ENSDARG00000093236,ENSG00000176371,ortholog_many2many,0,55,30
ENSDARG00000093236,ENSG00000196150,ortholog_many2many,0,51,30
ENSDARG00000093236,ENSG00000125945,ortholog_many2many,0,50,35
ENSDARG00000093236,ENSG00000180938,ortholog_many2many,0,52,32
ENSDARG00000093236,ENSG00000183309,ortholog_many2many,0,49,30
ENSDARG00000093236,ENSG00000198939,ortholog_many2many,0,55,39
ENSDARG00000093236,ENSG00000180787,ortholog_many2many,0,52,34
ENSDARG00000093236,ENSG00000251247,ortholog_many2many,0,53,36
ENSDARG00000093236,ENSG00000197951,ortholog_many2many,0,53,36
ENSDARG00000093236,ENSG00000196653,ortholog_many2many,0,50,30
ENSDARG00000093236,ENSG00000196345,ortholog_many2many,0,50,22
ENSDARG00000087738,,,,,
ENSDARG00000096601,ENSG00000148541,ortholog_one2one,1,40,34
ENSDARG00000100810,ENSG00000103426,ortholog_many2many,1,66,25
ENSDARG00000100810,ENSG00000262246,ortholog_many2many,1,66,29
ENSDARG00000036675,ENSG00000135486,ortholog_many2many,1,60,65
ENSDARG00000036675,ENSG00000139675,ortholog_many2many,1,58,73
ENSDARG00000100869,ENSG00000162104,ortholog_one2many,1,57,59
ENSDARG00000079824,ENSG00000171840,ortholog_one2one,1,57,39
ENSDARG00000056387,ENSG00000132972,ortholog_one2one,1,32,30
ENSDARG00000101801,,,,,
ENSDARG00000105127,,,,,
ENSDARG00000004561,ENSG00000126583,ortholog_one2one,1,69,65
ENSDARG00000101388,,,,,
ENSDARG00000088000,,,,,
ENSDARG00000092381,ENSG00000157873,ortholog_one2many,0,25,25
ENSDARG00000082090,,,,,
ENSDARG00000098372,,,,,
ENSDARG00000101053,,,,,
ENSDARG00000016200,ENSG00000101255,ortholog_one2one,1,50,45
ENSDARG00000036571,ENSG00000170381,ortholog_one2one,1,58,58
ENSDARG00000098778,ENSG00000251887,ortholog_many2many,0,77,59
ENSDARG00000098778,ENSG00000272507,ortholog_many2many,0,78,58
ENSDARG00000098778,ENSG00000212466,ortholog_many2many,0,78,54
ENSDARG00000098778,ENSG00000212147,ortholog_many2many,0,77,53
ENSDARG00000076824,ENSG00000110148,ortholog_one2many,1,54,47
ENSDARG00000033126,ENSG00000128563,ortholog_one2one,1,63,63
ENSDARG00000098341,,,,,
ENSDARG00000078745,ENSG00000135241,ortholog_one2one,0,54,48
ENSDARG00000098947,ENSG00000199687,ortholog_one2many,0,60,62
ENSDARG00000100389,,,,,
ENSDARG00000011862,ENSG00000148798,ortholog_one2many,0,58,56
ENSDARG00000101004,ENSG00000200516,ortholog_many2many,0,69,68
ENSDARG00000101004,ENSG00000223113,ortholog_many2many,0,61,69
ENSDARG00000101004,ENSG00000222428,ortholog_many2many,0,63,54
ENSDARG00000042508,ENSG00000144357,ortholog_one2one,1,60,30
ENSDARG00000079605,ENSG00000100462,ortholog_one2one,1,79,78
ENSDARG00000102944,,,,,
ENSDARG00000062137,ENSG00000118007,ortholog_one2many,1,85,85
ENSDARG00000007207,ENSG00000257727,ortholog_one2many,1,64,65
ENSDARG00000007207,ENSG00000144785,ortholog_one2many,1,60,42
ENSDARG00000016775,ENSG00000021776,ortholog_one2one,1,73,75
ENSDARG00000076330,ENSG00000081721,ortholog_one2one,0,59,53
ENSDARG00000020354,ENSG00000162761,ortholog_one2one,1,54,52
ENSDARG00000088265,,,,,
ENSDARG00000097059,,,,,
ENSDARG00000104171,,,,,
ENSDARG00000099429,ENSG00000116898,ortholog_one2one,0,38,39
ENSDARG00000100168,ENSG00000207511,ortholog_many2many,1,78,78
ENSDARG00000100168,ENSG00000212330,ortholog_many2many,1,75,77
ENSDARG00000100168,ENSG00000207434,ortholog_many2many,1,78,78
ENSDARG00000100168,ENSG00000207007,ortholog_many2many,1,84,81
ENSDARG00000100168,ENSG00000206752,ortholog_many2many,1,82,82
ENSDARG00000100168,ENSG00000251754,ortholog_many2many,1,71,72
ENSDARG00000100168,ENSG00000207359,ortholog_many2many,1,76,78
ENSDARG00000059391,ENSG00000163754,ortholog_one2many,1,64,59
ENSDARG00000037079,ENSG00000163001,ortholog_one2one,1,38,36
ENSDARG00000090293,,,,,
ENSDARG00000088067,,,,,
ENSDARG00000079473,ENSG00000143674,ortholog_one2one,1,58,54
ENSDARG00000062906,,,,,
ENSDARG00000104421,,,,,
ENSDARG00000091154,,,,,
ENSDARG00000094546,,,,,
ENSDARG00000104047,,,,,
ENSDARG00000104713,,,,,
ENSDARG00000055446,,,,,
ENSDARG00000071656,,,,,
ENSDARG00000105299,,,,,
ENSDARG00000073665,ENSG00000145715,ortholog_one2many,1,73,72
ENSDARG00000042526,ENSG00000274529,ortholog_one2one,1,21,35
ENSDARG00000030598,,,,,
ENSDARG00000092252,ENSG00000106785,ortholog_one2many,0,24,12
ENSDARG00000079881,ENSG00000179152,ortholog_one2one,1,56,55
ENSDARG00000089234,ENSG00000207511,ortholog_many2many,1,78,78
ENSDARG00000089234,ENSG00000212330,ortholog_many2many,1,77,79
ENSDARG00000089234,ENSG00000207434,ortholog_many2many,1,78,78
ENSDARG00000089234,ENSG00000207007,ortholog_many2many,1,86,83
ENSDARG00000089234,ENSG00000206752,ortholog_many2many,1,82,82
ENSDARG00000089234,ENSG00000251754,ortholog_many2many,1,69,70
ENSDARG00000089234,ENSG00000207359,ortholog_many2many,1,76,78
ENSDARG00000021582,ENSG00000125971,ortholog_one2many,1,80,80
ENSDARG00000103080,,,,,
ENSDARG00000101426,,,,,
ENSDARG00000095734,,,,,
ENSDARG00000101376,,,,,
ENSDARG00000078876,ENSG00000163254,ortholog_many2many,0,50,51
ENSDARG00000078876,ENSG00000168582,ortholog_many2many,0,49,49
ENSDARG00000078876,ENSG00000182187,ortholog_many2many,0,53,53
ENSDARG00000078876,ENSG00000118231,ortholog_many2many,0,50,51
ENSDARG00000098467,,,,,
ENSDARG00000098872,,,,,
ENSDARG00000103757,,,,,
ENSDARG00000094165,,,,,
ENSDARG00000045940,ENSG00000161654,ortholog_one2many,1,85,86
ENSDARG00000076005,ENSG00000154864,ortholog_one2one,0,70,22
ENSDARG00000101468,,,,,
ENSDARG00000100176,,,,,
ENSDARG00000043798,ENSG00000166961,ortholog_many2many,1,25,25
ENSDARG00000043798,ENSG00000166959,ortholog_many2many,1,26,25
ENSDARG00000043798,ENSG00000214782,ortholog_many2many,1,24,15
ENSDARG00000043798,ENSG00000110079,ortholog_many2many,1,23,24
ENSDARG00000043798,ENSG00000071203,ortholog_many2many,1,26,24
ENSDARG00000043798,ENSG00000214787,ortholog_many2many,1,16,24
ENSDARG00000104102,ENSG00000207511,ortholog_many2many,1,78,78
ENSDARG00000104102,ENSG00000212330,ortholog_many2many,1,75,77
ENSDARG00000104102,ENSG00000207434,ortholog_many2many,1,78,78
ENSDARG00000104102,ENSG00000207007,ortholog_many2many,1,84,81
ENSDARG00000104102,ENSG00000206752,ortholog_many2many,1,82,82
ENSDARG00000104102,ENSG00000251754,ortholog_many2many,1,69,70
ENSDARG00000104102,ENSG00000207359,ortholog_many2many,1,76,78
ENSDARG00000098690,,,,,
ENSDARG00000105160,,,,,
ENSDARG00000083126,ENSG00000199158,ortholog_one2one,0,50,81
ENSDARG00000076040,ENSG00000185305,ortholog_one2many,1,67,68
ENSDARG00000100542,,,,,
ENSDARG00000105076,ENSG00000239194,ortholog_many2many,0,35,39
ENSDARG00000105076,ENSG00000212172,ortholog_many2many,0,51,56
ENSDARG00000105076,ENSG00000200340,ortholog_many2many,0,48,53
ENSDARG00000105076,ENSG00000200204,ortholog_many2many,0,48,54
ENSDARG00000105076,ENSG00000252850,ortholog_many2many,0,46,51
ENSDARG00000091788,ENSG00000148734,ortholog_one2one,1,59,41
ENSDARG00000101144,ENSG00000177054,ortholog_one2one,1,48,50
ENSDARG00000102137,ENSG00000207511,ortholog_many2many,1,78,78
ENSDARG00000102137,ENSG00000212330,ortholog_many2many,1,77,79
ENSDARG00000102137,ENSG00000207434,ortholog_many2many,1,78,78
ENSDARG00000102137,ENSG00000207007,ortholog_many2many,1,86,83
ENSDARG00000102137,ENSG00000206752,ortholog_many2many,1,82,82
ENSDARG00000102137,ENSG00000251754,ortholog_many2many,1,69,70
ENSDARG00000102137,ENSG00000207359,ortholog_many2many,1,76,78
ENSDARG00000027310,ENSG00000130592,ortholog_one2many,1,20,25
ENSDARG00000076638,ENSG00000254726,ortholog_one2one,1,45,43
ENSDARG00000060877,ENSG00000164176,ortholog_one2many,1,74,71
ENSDARG00000071024,ENSG00000106785,ortholog_one2many,0,25,13
ENSDARG00000086163,,,,,
ENSDARG00000095920,,,,,
ENSDARG00000063321,ENSG00000144134,ortholog_one2many,1,74,68
ENSDARG00000063321,ENSG00000079974,ortholog_one2many,1,74,68
ENSDARG00000006848,ENSG00000138496,ortholog_one2one,0,32,31
ENSDARG00000082587,,,,,
ENSDARG00000076259,ENSG00000136535,ortholog_one2many,1,49,42
ENSDARG00000104443,ENSG00000178235,ortholog_one2one,1,71,71
ENSDARG00000027658,,,,,
ENSDARG00000071407,,,,,
ENSDARG00000081997,,,,,
ENSDARG00000083158,ENSG00000238650,ortholog_one2one,1,58,60
ENSDARG00000094871,,,,,
ENSDARG00000044457,ENSG00000162676,ortholog_one2many,1,64,60
ENSDARG00000009870,ENSG00000107643,ortholog_one2many,1,85,85
ENSDARG00000075375,,,,,
ENSDARG00000068280,ENSG00000115290,ortholog_one2one,1,70,59
ENSDARG00000059738,ENSG00000105426,ortholog_one2one,1,72,71
ENSDARG00000083238,,,,,
ENSDARG00000092950,,,,,
ENSDARG00000081214,ENSG00000278135,ortholog_one2many,0,51,60
ENSDARG00000081214,ENSG00000252847,ortholog_one2many,0,50,50
ENSDARG00000081214,ENSG00000222094,ortholog_one2many,0,59,36
ENSDARG00000081214,ENSG00000222582,ortholog_one2many,0,62,43
ENSDARG00000081214,ENSG00000274755,ortholog_one2many,0,53,59
ENSDARG00000081214,ENSG00000278234,ortholog_one2many,0,52,69
ENSDARG00000086193,ENSG00000199492,ortholog_many2many,1,63,63
ENSDARG00000086193,ENSG00000238493,ortholog_many2many,1,65,67
ENSDARG00000086193,ENSG00000238619,ortholog_many2many,1,63,67
ENSDARG00000086193,ENSG00000252752,ortholog_many2many,1,62,66
ENSDARG00000086193,ENSG00000201308,ortholog_many2many,1,71,70
ENSDARG00000098134,,,,,
ENSDARG00000098251,ENSG00000239194,ortholog_many2many,0,44,41
ENSDARG00000098251,ENSG00000212172,ortholog_many2many,0,57,53
ENSDARG00000098251,ENSG00000200340,ortholog_many2many,0,55,51
ENSDARG00000098251,ENSG00000200204,ortholog_many2many,0,57,54
ENSDARG00000098251,ENSG00000252850,ortholog_many2many,0,60,56
ENSDARG00000100628,,,,,
ENSDARG00000056829,,,,,
ENSDARG00000103823,ENSG00000153250,ortholog_one2many,1,77,41
ENSDARG00000028780,ENSG00000113088,ortholog_one2many,1,36,35
ENSDARG00000078267,,,,,
ENSDARG00000038981,,,,,
ENSDARG00000040255,ENSG00000120915,ortholog_one2one,1,48,48
ENSDARG00000097491,ENSG00000242366,ortholog_many2many,0,45,45
ENSDARG00000097491,ENSG00000167165,ortholog_many2many,0,32,32
ENSDARG00000097491,ENSG00000244474,ortholog_many2many,0,47,46
ENSDARG00000097491,ENSG00000241635,ortholog_many2many,0,48,48
ENSDARG00000097491,ENSG00000241119,ortholog_many2many,0,45,45
ENSDARG00000097491,ENSG00000243135,ortholog_many2many,0,47,47
ENSDARG00000097491,ENSG00000240224,ortholog_many2many,0,48,47
ENSDARG00000097491,ENSG00000242515,ortholog_many2many,0,44,44
ENSDARG00000097491,ENSG00000244122,ortholog_many2many,0,45,45
ENSDARG00000098069,,,,,
ENSDARG00000045485,ENSG00000123094,ortholog_one2many,1,65,66
ENSDARG00000042391,ENSG00000177989,ortholog_one2one,0,51,52
ENSDARG00000098421,ENSG00000207511,ortholog_many2many,1,79,79
ENSDARG00000098421,ENSG00000212330,ortholog_many2many,1,75,77
ENSDARG00000098421,ENSG00000207434,ortholog_many2many,1,79,79
ENSDARG00000098421,ENSG00000207007,ortholog_many2many,1,84,81
ENSDARG00000098421,ENSG00000206752,ortholog_many2many,1,83,83
ENSDARG00000098421,ENSG00000251754,ortholog_many2many,1,71,72
ENSDARG00000098421,ENSG00000207359,ortholog_many2many,1,78,80
ENSDARG00000032458,ENSG00000072518,ortholog_one2many,1,72,71
ENSDARG00000038473,ENSG00000109332,ortholog_one2many,1,89,89
ENSDARG00000092315,,,,,
ENSDARG00000104821,,,,,
ENSDARG00000016611,ENSG00000144306,ortholog_one2one,1,63,62
ENSDARG00000068969,ENSG00000157873,ortholog_one2many,0,24,23
ENSDARG00000104044,,,,,
ENSDARG00000095788,ENSG00000106128,ortholog_one2one,1,51,51
ENSDARG00000027491,ENSG00000188690,ortholog_one2one,1,55,54
ENSDARG00000099910,,,,,
ENSDARG00000016427,ENSG00000132436,ortholog_one2one,1,57,56
ENSDARG00000009484,ENSG00000143761,ortholog_one2one,1,98,98
ENSDARG00000018061,ENSG00000140398,ortholog_one2one,1,44,49
ENSDARG00000087927,ENSG00000170502,ortholog_one2one,1,53,51
ENSDARG00000100733,,,,,
ENSDARG00000104753,,,,,
ENSDARG00000020609,ENSG00000132639,ortholog_one2many,0,94,93
ENSDARG00000101365,ENSG00000254004,ortholog_many2many,1,45,33
ENSDARG00000101365,ENSG00000167635,ortholog_many2many,1,42,43
ENSDARG00000090520,,,,,
ENSDARG00000077339,ENSG00000141378,ortholog_one2one,1,69,67
ENSDARG00000076552,,,,,
ENSDARG00000086179,ENSG00000106785,ortholog_one2many,0,26,18
ENSDARG00000091656,ENSG00000128534,ortholog_one2one,1,92,92
ENSDARG00000099037,ENSG00000200516,ortholog_many2many,0,69,68
ENSDARG00000099037,ENSG00000223113,ortholog_many2many,0,61,69
ENSDARG00000099037,ENSG00000222428,ortholog_many2many,0,63,54
ENSDARG00000077293,ENSG00000166317,ortholog_one2many,1,32,38
ENSDARG00000103674,,,,,
ENSDARG00000099490,,,,,
ENSDARG00000090855,,,,,
ENSDARG00000102633,ENSG00000199492,ortholog_many2many,1,56,39
ENSDARG00000102633,ENSG00000238493,ortholog_many2many,1,63,45
ENSDARG00000102633,ENSG00000238619,ortholog_many2many,1,61,45
ENSDARG00000102633,ENSG00000252752,ortholog_many2many,1,63,47
ENSDARG00000102633,ENSG00000201308,ortholog_many2many,1,68,47
ENSDARG00000039936,ENSG00000151892,ortholog_one2many,1,77,26
ENSDARG00000103372,,,,,
ENSDARG00000045910,ENSG00000146433,ortholog_one2one,1,68,59
ENSDARG00000104250,ENSG00000207511,ortholog_many2many,1,76,76
ENSDARG00000104250,ENSG00000212330,ortholog_many2many,1,71,73
ENSDARG00000104250,ENSG00000207434,ortholog_many2many,1,76,76
ENSDARG00000104250,ENSG00000207007,ortholog_many2many,1,80,77
ENSDARG00000104250,ENSG00000206752,ortholog_many2many,1,79,79
ENSDARG00000104250,ENSG00000251754,ortholog_many2many,1,65,67
ENSDARG00000104250,ENSG00000207359,ortholog_many2many,1,74,76
ENSDARG00000087304,,,,,
ENSDARG00000079352,ENSG00000136715,ortholog_one2many,1,61,59
ENSDARG00000083060,,,,,
ENSDARG00000014068,ENSG00000226784,ortholog_many2many,1,87,87
ENSDARG00000014068,ENSG00000171314,ortholog_many2many,1,91,91
ENSDARG00000057660,ENSG00000163214,ortholog_one2one,1,58,60
ENSDARG00000076343,,,,,
ENSDARG00000103869,ENSG00000207511,ortholog_many2many,1,78,78
ENSDARG00000103869,ENSG00000212330,ortholog_many2many,1,74,76
ENSDARG00000103869,ENSG00000207434,ortholog_many2many,1,78,78
ENSDARG00000103869,ENSG00000207007,ortholog_many2many,1,83,80
ENSDARG00000103869,ENSG00000206752,ortholog_many2many,1,82,82
ENSDARG00000103869,ENSG00000251754,ortholog_many2many,1,70,71
ENSDARG00000103869,ENSG00000207359,ortholog_many2many,1,77,79
ENSDARG00000056591,,,,,
ENSDARG00000080385,,,,,
ENSDARG00000104139,ENSG00000105409,ortholog_one2many,1,92,92
ENSDARG00000091795,ENSG00000207511,ortholog_many2many,1,79,79
ENSDARG00000091795,ENSG00000212330,ortholog_many2many,1,75,77
ENSDARG00000091795,ENSG00000207434,ortholog_many2many,1,79,79
ENSDARG00000091795,ENSG00000207007,ortholog_many2many,1,84,81
ENSDARG00000091795,ENSG00000206752,ortholog_many2many,1,83,83
ENSDARG00000091795,ENSG00000251754,ortholog_many2many,1,71,72
ENSDARG00000091795,ENSG00000207359,ortholog_many2many,1,78,80
ENSDARG00000104898,,,,,
ENSDARG00000027639,,,,,
ENSDARG00000010758,,,,,
ENSDARG00000099089,ENSG00000251887,ortholog_many2many,0,77,59
ENSDARG00000099089,ENSG00000272507,ortholog_many2many,0,80,59
ENSDARG00000099089,ENSG00000212466,ortholog_many2many,0,78,54
ENSDARG00000099089,ENSG00000212147,ortholog_many2many,0,77,53
ENSDARG00000098150,ENSG00000199687,ortholog_one2many,0,57,62
ENSDARG00000084738,,,,,
ENSDARG00000102133,,,,,
ENSDARG00000098543,,,,,
ENSDARG00000008238,ENSG00000109323,ortholog_one2one,1,53,54
ENSDARG00000098667,ENSG00000116032,ortholog_one2many,1,52,48
ENSDARG00000044501,ENSG00000026025,ortholog_one2many,1,69,66
ENSDARG00000095068,,,,,
ENSDARG00000104520,,,,,
ENSDARG00000104163,,,,,
ENSDARG00000013457,ENSG00000039123,ortholog_one2one,1,85,85
ENSDARG00000101267,,,,,
ENSDARG00000103374,,,,,
ENSDARG00000023062,ENSG00000142871,ortholog_one2one,1,67,65
ENSDARG00000099269,,,,,
ENSDARG00000099666,ENSG00000251887,ortholog_many2many,0,78,60
ENSDARG00000099666,ENSG00000272507,ortholog_many2many,0,80,59
ENSDARG00000099666,ENSG00000212466,ortholog_many2many,0,80,55
ENSDARG00000099666,ENSG00000212147,ortholog_many2many,0,78,54
ENSDARG00000099335,,,,,
ENSDARG00000084791,,,,,
ENSDARG00000093546,ENSG00000166961,ortholog_many2many,1,25,25
ENSDARG00000093546,ENSG00000166959,ortholog_many2many,1,26,25
ENSDARG00000093546,ENSG00000214782,ortholog_many2many,1,25,16
ENSDARG00000093546,ENSG00000110079,ortholog_many2many,1,24,25
ENSDARG00000093546,ENSG00000071203,ortholog_many2many,1,22,21
ENSDARG00000093546,ENSG00000214787,ortholog_many2many,1,15,23
ENSDARG00000098866,ENSG00000199492,ortholog_many2many,1,63,64
ENSDARG00000098866,ENSG00000238493,ortholog_many2many,1,65,68
ENSDARG00000098866,ENSG00000238619,ortholog_many2many,1,63,68
ENSDARG00000098866,ENSG00000252752,ortholog_many2many,1,62,67
